store_nbr,item_nbr,date,unit_sales,year,month,day,day_of_week
24,215352,2013-03-06,65.0,2013,3,6,2
24,215352,2013-03-07,51.0,2013,3,7,3
24,215352,2013-03-08,86.0,2013,3,8,4
24,215352,2013-03-09,50.0,2013,3,9,5
24,215352,2013-03-10,52.0,2013,3,10,6
24,215352,2013-03-11,84.0,2013,3,11,0
24,215352,2013-03-12,54.0,2013,3,12,1
24,215352,2013-03-13,40.0,2013,3,13,2
24,215352,2013-03-14,51.0,2013,3,14,3
24,215352,2013-03-15,88.0,2013,3,15,4
24,215352,2013-03-16,66.0,2013,3,16,5
24,215352,2013-03-17,70.0,2013,3,17,6
24,215352,2013-03-18,55.0,2013,3,18,0
24,215352,2013-03-19,48.0,2013,3,19,1
24,215352,2013-03-20,62.0,2013,3,20,2
24,215352,2013-03-21,28.0,2013,3,21,3
24,215352,2013-03-22,73.0,2013,3,22,4
24,215352,2013-03-23,47.0,2013,3,23,5
24,215352,2013-03-24,56.0,2013,3,24,6
24,215352,2013-03-25,49.0,2013,3,25,0
24,215352,2013-03-26,43.0,2013,3,26,1
24,215352,2013-03-27,39.0,2013,3,27,2
24,215352,2013-03-28,31.0,2013,3,28,3
24,215352,2013-03-29,55.0,2013,3,29,4
24,215352,2013-03-30,47.0,2013,3,30,5
24,215352,2013-03-31,42.0,2013,3,31,6
24,215352,2013-04-01,51.0,2013,4,1,0
24,215352,2013-04-02,79.0,2013,4,2,1
24,215352,2013-04-03,27.0,2013,4,3,2
24,215352,2013-04-04,3.0,2013,4,4,3
24,215352,2013-04-05,80.0,2013,4,5,4
24,215352,2013-04-06,57.0,2013,4,6,5
24,215352,2013-04-07,54.0,2013,4,7,6
24,215352,2013-04-08,70.0,2013,4,8,0
24,215352,2013-04-09,29.0,2013,4,9,1
24,215352,2013-04-10,50.0,2013,4,10,2
24,215352,2013-04-11,29.0,2013,4,11,3
24,215352,2013-04-12,75.0,2013,4,12,4
24,215352,2013-04-13,64.0,2013,4,13,5
24,215352,2013-04-14,62.0,2013,4,14,6
24,215352,2013-04-15,81.0,2013,4,15,0
24,215352,2013-04-16,28.0,2013,4,16,1
24,215352,2013-04-17,47.0,2013,4,17,2
24,215352,2013-04-18,43.0,2013,4,18,3
24,215352,2013-04-19,56.0,2013,4,19,4
24,215352,2013-04-20,53.0,2013,4,20,5
24,215352,2013-04-21,62.0,2013,4,21,6
24,215352,2013-04-22,73.0,2013,4,22,0
24,215352,2013-04-23,26.0,2013,4,23,1
24,215352,2013-04-24,54.0,2013,4,24,2
24,215352,2013-04-25,57.0,2013,4,25,3
24,215352,2013-04-26,74.0,2013,4,26,4
24,215352,2013-04-27,100.0,2013,4,27,5
24,215352,2013-04-28,75.0,2013,4,28,6
24,215352,2013-04-29,56.0,2013,4,29,0
24,215352,2013-04-30,66.0,2013,4,30,1
24,215352,2013-05-01,94.0,2013,5,1,2
24,215352,2013-05-02,54.0,2013,5,2,3
24,215352,2013-05-03,65.0,2013,5,3,4
24,215352,2013-05-04,48.0,2013,5,4,5
24,215352,2013-05-05,132.0,2013,5,5,6
24,215352,2013-05-06,110.0,2013,5,6,0
24,215352,2013-05-07,52.0,2013,5,7,1
24,215352,2013-05-08,85.0,2013,5,8,2
24,215352,2013-05-09,80.0,2013,5,9,3
24,215352,2013-05-10,55.0,2013,5,10,4
24,215352,2013-05-11,82.0,2013,5,11,5
24,215352,2013-05-12,81.0,2013,5,12,6
24,215352,2013-05-13,80.0,2013,5,13,0
24,215352,2013-05-14,69.0,2013,5,14,1
24,215352,2013-05-15,73.0,2013,5,15,2
24,215352,2013-05-16,56.0,2013,5,16,3
24,215352,2013-05-17,92.0,2013,5,17,4
24,215352,2013-05-18,91.0,2013,5,18,5
24,215352,2013-05-19,103.0,2013,5,19,6
24,215352,2013-05-20,105.0,2013,5,20,0
24,215352,2013-05-21,82.0,2013,5,21,1
24,215352,2013-05-22,68.0,2013,5,22,2
24,215352,2013-05-23,57.0,2013,5,23,3
24,215352,2013-05-24,56.0,2013,5,24,4
24,215352,2013-05-25,83.0,2013,5,25,5
24,215352,2013-05-26,131.0,2013,5,26,6
24,215352,2013-05-27,73.0,2013,5,27,0
24,215352,2013-05-28,57.0,2013,5,28,1
24,215352,2013-05-29,102.0,2013,5,29,2
24,215352,2013-05-30,50.0,2013,5,30,3
24,215352,2013-05-31,85.0,2013,5,31,4
24,215352,2013-06-01,110.0,2013,6,1,5
24,215352,2013-06-02,165.0,2013,6,2,6
24,215352,2013-06-03,97.0,2013,6,3,0
24,215352,2013-06-04,78.0,2013,6,4,1
24,215352,2013-06-05,64.0,2013,6,5,2
24,215352,2013-06-06,68.0,2013,6,6,3
24,215352,2013-06-07,77.0,2013,6,7,4
24,215352,2013-06-08,81.0,2013,6,8,5
24,215352,2013-06-09,152.0,2013,6,9,6
24,215352,2013-06-10,84.0,2013,6,10,0
24,215352,2013-06-11,52.0,2013,6,11,1
24,215352,2013-06-12,83.0,2013,6,12,2
24,215352,2013-06-13,58.0,2013,6,13,3
24,215352,2013-06-14,91.0,2013,6,14,4
24,215352,2013-06-15,89.0,2013,6,15,5
24,215352,2013-06-16,97.0,2013,6,16,6
24,215352,2013-06-17,108.0,2013,6,17,0
24,215352,2013-06-18,55.0,2013,6,18,1
24,215352,2013-06-19,98.0,2013,6,19,2
24,215352,2013-06-20,75.0,2013,6,20,3
24,215352,2013-06-21,74.0,2013,6,21,4
24,215352,2013-06-22,64.0,2013,6,22,5
24,215352,2013-06-23,114.0,2013,6,23,6
24,215352,2013-06-24,101.0,2013,6,24,0
24,215352,2013-06-25,68.0,2013,6,25,1
24,215352,2013-06-26,84.0,2013,6,26,2
24,215352,2013-06-27,58.0,2013,6,27,3
24,215352,2013-06-28,61.0,2013,6,28,4
24,215352,2013-06-29,123.0,2013,6,29,5
24,215352,2013-06-30,137.0,2013,6,30,6
24,215352,2013-07-01,86.0,2013,7,1,0
24,215352,2013-07-02,80.0,2013,7,2,1
24,215352,2013-07-03,27.0,2013,7,3,2
24,215352,2013-07-04,93.0,2013,7,4,3
24,215352,2013-07-05,92.0,2013,7,5,4
24,215352,2013-07-06,118.0,2013,7,6,5
24,215352,2013-07-07,147.0,2013,7,7,6
24,215352,2013-07-08,88.0,2013,7,8,0
24,215352,2013-07-09,68.0,2013,7,9,1
24,215352,2013-07-10,106.0,2013,7,10,2
24,215352,2013-07-11,51.0,2013,7,11,3
24,215352,2013-07-12,32.0,2013,7,12,4
24,215352,2013-07-13,117.0,2013,7,13,5
24,215352,2013-07-14,108.0,2013,7,14,6
24,215352,2013-07-15,96.0,2013,7,15,0
24,215352,2013-07-16,59.0,2013,7,16,1
24,215352,2013-07-17,98.0,2013,7,17,2
24,215352,2013-07-18,61.0,2013,7,18,3
24,215352,2013-07-19,81.0,2013,7,19,4
24,215352,2013-07-20,72.0,2013,7,20,5
24,215352,2013-07-21,131.0,2013,7,21,6
24,215352,2013-07-22,71.0,2013,7,22,0
24,215352,2013-07-23,73.0,2013,7,23,1
24,215352,2013-07-24,63.0,2013,7,24,2
24,215352,2013-07-25,45.0,2013,7,25,3
24,215352,2013-07-26,74.0,2013,7,26,4
24,215352,2013-07-27,88.0,2013,7,27,5
24,215352,2013-07-28,112.0,2013,7,28,6
24,215352,2013-07-29,70.0,2013,7,29,0
24,215352,2013-07-30,76.0,2013,7,30,1
24,215352,2013-07-31,75.0,2013,7,31,2
24,215352,2013-08-01,53.0,2013,8,1,3
24,215352,2013-08-02,69.0,2013,8,2,4
24,215352,2013-08-03,96.0,2013,8,3,5
24,215352,2013-08-04,127.0,2013,8,4,6
24,215352,2013-08-05,82.0,2013,8,5,0
24,215352,2013-08-06,50.0,2013,8,6,1
24,215352,2013-08-07,35.0,2013,8,7,2
24,215352,2013-08-08,43.0,2013,8,8,3
24,215352,2013-08-09,42.0,2013,8,9,4
24,215352,2013-08-10,106.0,2013,8,10,5
24,215352,2013-08-11,130.0,2013,8,11,6
24,215352,2013-08-12,84.0,2013,8,12,0
24,215352,2013-08-13,76.0,2013,8,13,1
24,215352,2013-08-14,79.0,2013,8,14,2
24,215352,2013-08-15,92.0,2013,8,15,3
24,215352,2013-08-16,73.0,2013,8,16,4
24,215352,2013-08-17,102.0,2013,8,17,5
24,215352,2013-08-18,111.0,2013,8,18,6
24,215352,2013-08-19,65.0,2013,8,19,0
24,215352,2013-08-20,50.0,2013,8,20,1
24,215352,2013-08-21,114.0,2013,8,21,2
24,215352,2013-08-22,72.0,2013,8,22,3
24,215352,2013-08-23,79.0,2013,8,23,4
24,215352,2013-08-24,75.0,2013,8,24,5
24,215352,2013-08-25,121.0,2013,8,25,6
24,215352,2013-08-26,82.0,2013,8,26,0
24,215352,2013-08-27,46.0,2013,8,27,1
24,215352,2013-08-28,80.0,2013,8,28,2
24,215352,2013-08-29,52.0,2013,8,29,3
24,215352,2013-08-30,69.0,2013,8,30,4
24,215352,2013-08-31,86.0,2013,8,31,5
24,215352,2013-09-01,116.0,2013,9,1,6
24,215352,2013-09-02,113.0,2013,9,2,0
24,215352,2013-09-03,40.0,2013,9,3,1
24,215352,2013-09-04,66.0,2013,9,4,2
24,215352,2013-09-05,64.0,2013,9,5,3
24,215352,2013-09-06,65.0,2013,9,6,4
24,215352,2013-09-07,113.0,2013,9,7,5
24,215352,2013-09-08,84.0,2013,9,8,6
24,215352,2013-09-09,101.0,2013,9,9,0
24,215352,2013-09-10,71.0,2013,9,10,1
24,215352,2013-09-11,83.0,2013,9,11,2
24,215352,2013-09-12,59.0,2013,9,12,3
24,215352,2013-09-13,70.0,2013,9,13,4
24,215352,2013-09-14,102.0,2013,9,14,5
24,215352,2013-09-15,117.0,2013,9,15,6
24,215352,2013-09-16,69.0,2013,9,16,0
24,215352,2013-09-17,73.0,2013,9,17,1
24,215352,2013-09-18,55.0,2013,9,18,2
24,215352,2013-09-19,12.0,2013,9,19,3
24,215352,2013-09-20,77.0,2013,9,20,4
24,215352,2013-09-21,123.0,2013,9,21,5
24,215352,2013-09-22,88.0,2013,9,22,6
24,215352,2013-09-23,73.0,2013,9,23,0
24,215352,2013-09-24,91.0,2013,9,24,1
24,215352,2013-09-25,98.0,2013,9,25,2
24,215352,2013-09-26,45.0,2013,9,26,3
24,215352,2013-09-27,29.0,2013,9,27,4
24,215352,2013-09-28,79.0,2013,9,28,5
24,215352,2013-09-29,82.0,2013,9,29,6
24,215352,2013-09-30,75.0,2013,9,30,0
24,215352,2013-10-01,36.0,2013,10,1,1
24,215352,2013-10-02,56.0,2013,10,2,2
24,215352,2013-10-03,54.0,2013,10,3,3
24,215352,2013-10-04,41.0,2013,10,4,4
24,215352,2013-10-05,68.0,2013,10,5,5
24,215352,2013-10-06,63.0,2013,10,6,6
24,215352,2013-10-07,63.0,2013,10,7,0
24,215352,2013-10-08,37.0,2013,10,8,1
24,215352,2013-10-09,56.0,2013,10,9,2
24,215352,2013-10-10,70.0,2013,10,10,3
24,215352,2013-10-11,64.0,2013,10,11,4
24,215352,2013-10-12,69.0,2013,10,12,5
24,215352,2013-10-13,93.0,2013,10,13,6
24,215352,2013-10-14,65.0,2013,10,14,0
24,215352,2013-10-15,65.0,2013,10,15,1
24,215352,2013-10-16,104.0,2013,10,16,2
24,215352,2013-10-17,63.0,2013,10,17,3
24,215352,2013-10-18,47.0,2013,10,18,4
24,215352,2013-10-19,100.0,2013,10,19,5
24,215352,2013-10-20,100.0,2013,10,20,6
24,215352,2013-10-21,63.0,2013,10,21,0
24,215352,2013-10-22,69.0,2013,10,22,1
24,215352,2013-10-23,94.0,2013,10,23,2
24,215352,2013-10-24,38.0,2013,10,24,3
24,215352,2013-10-25,77.0,2013,10,25,4
24,215352,2013-10-26,82.0,2013,10,26,5
24,215352,2013-10-27,148.0,2013,10,27,6
24,215352,2013-10-28,70.0,2013,10,28,0
24,215352,2013-10-29,83.0,2013,10,29,1
24,215352,2013-10-30,85.0,2013,10,30,2
24,215352,2013-10-31,47.0,2013,10,31,3
24,215352,2013-11-01,65.0,2013,11,1,4
24,215352,2013-11-02,91.0,2013,11,2,5
24,215352,2013-11-03,101.0,2013,11,3,6
24,215352,2013-11-04,64.0,2013,11,4,0
24,215352,2013-11-05,56.0,2013,11,5,1
24,215352,2013-11-06,62.0,2013,11,6,2
24,215352,2013-11-07,91.0,2013,11,7,3
24,215352,2013-11-08,33.0,2013,11,8,4
24,215352,2013-11-09,81.0,2013,11,9,5
24,215352,2013-11-10,101.0,2013,11,10,6
24,215352,2013-11-11,101.0,2013,11,11,0
24,215352,2013-11-12,40.0,2013,11,12,1
24,215352,2013-11-13,69.0,2013,11,13,2
24,215352,2013-11-14,45.0,2013,11,14,3
24,215352,2013-11-15,352.0,2013,11,15,4
24,215352,2013-11-16,82.0,2013,11,16,5
24,215352,2013-11-17,13.0,2013,11,17,6
24,215352,2013-11-18,100.0,2013,11,18,0
24,215352,2013-11-19,60.0,2013,11,19,1
24,215352,2013-11-20,75.0,2013,11,20,2
24,215352,2013-11-21,60.0,2013,11,21,3
24,215352,2013-11-22,47.0,2013,11,22,4
24,215352,2013-11-23,52.0,2013,11,23,5
24,215352,2013-11-24,82.0,2013,11,24,6
24,215352,2013-11-25,70.0,2013,11,25,0
24,215352,2013-11-26,51.0,2013,11,26,1
24,215352,2013-11-27,72.0,2013,11,27,2
24,215352,2013-11-28,38.0,2013,11,28,3
24,215352,2013-11-29,48.0,2013,11,29,4
24,215352,2013-11-30,74.0,2013,11,30,5
24,215352,2013-12-01,116.0,2013,12,1,6
24,215352,2013-12-02,99.0,2013,12,2,0
24,215352,2013-12-03,50.0,2013,12,3,1
24,215352,2013-12-04,57.0,2013,12,4,2
24,215352,2013-12-05,37.0,2013,12,5,3
24,215352,2013-12-06,27.0,2013,12,6,4
24,215352,2013-12-07,72.0,2013,12,7,5
24,215352,2013-12-08,122.0,2013,12,8,6
24,215352,2013-12-09,60.0,2013,12,9,0
24,215352,2013-12-10,49.0,2013,12,10,1
24,215352,2013-12-11,71.0,2013,12,11,2
24,215352,2013-12-12,47.0,2013,12,12,3
24,215352,2013-12-13,54.0,2013,12,13,4
24,215352,2013-12-14,49.0,2013,12,14,5
24,215352,2013-12-15,82.0,2013,12,15,6
24,215352,2013-12-16,45.0,2013,12,16,0
24,215352,2013-12-17,23.0,2013,12,17,1
24,215352,2013-12-18,39.0,2013,12,18,2
24,215352,2013-12-19,34.0,2013,12,19,3
24,215352,2013-12-20,36.0,2013,12,20,4
24,215352,2013-12-21,44.0,2013,12,21,5
24,215352,2013-12-22,32.0,2013,12,22,6
24,215352,2013-12-23,40.0,2013,12,23,0
24,215352,2013-12-24,11.0,2013,12,24,1
24,215352,2013-12-25,0.0,2013,12,25,2
24,215352,2013-12-26,28.0,2013,12,26,3
24,215352,2013-12-27,60.0,2013,12,27,4
24,215352,2013-12-28,38.0,2013,12,28,5
24,215352,2013-12-29,33.0,2013,12,29,6
24,215352,2013-12-30,67.0,2013,12,30,0
24,215352,2013-12-31,22.0,2013,12,31,1
24,215352,2014-01-01,0.0,2014,1,1,2
24,215352,2014-01-02,91.0,2014,1,2,3
24,215352,2014-01-03,55.0,2014,1,3,4
24,215352,2014-01-04,66.0,2014,1,4,5
24,215352,2014-01-05,111.0,2014,1,5,6
24,215352,2014-01-06,69.0,2014,1,6,0
24,215352,2014-01-07,69.0,2014,1,7,1
24,215352,2014-01-08,33.0,2014,1,8,2
24,215352,2014-01-09,44.0,2014,1,9,3
24,215352,2014-01-10,31.0,2014,1,10,4
24,215352,2014-01-11,56.0,2014,1,11,5
24,215352,2014-01-12,84.0,2014,1,12,6
24,215352,2014-01-13,75.0,2014,1,13,0
24,215352,2014-01-14,67.0,2014,1,14,1
24,215352,2014-01-15,83.0,2014,1,15,2
24,215352,2014-01-16,53.0,2014,1,16,3
24,215352,2014-01-17,83.0,2014,1,17,4
24,215352,2014-01-18,88.0,2014,1,18,5
24,215352,2014-01-19,53.0,2014,1,19,6
24,215352,2014-01-20,46.0,2014,1,20,0
24,215352,2014-01-21,49.0,2014,1,21,1
24,215352,2014-01-22,63.0,2014,1,22,2
24,215352,2014-01-23,51.0,2014,1,23,3
24,215352,2014-01-24,43.0,2014,1,24,4
24,215352,2014-01-25,75.0,2014,1,25,5
24,215352,2014-01-26,99.0,2014,1,26,6
24,215352,2014-01-27,39.0,2014,1,27,0
24,215352,2014-01-28,65.0,2014,1,28,1
24,215352,2014-01-29,56.0,2014,1,29,2
24,215352,2014-01-30,28.0,2014,1,30,3
24,215352,2014-01-31,4.0,2014,1,31,4
24,215352,2014-02-01,9.0,2014,2,1,5
24,215352,2014-02-02,2.0,2014,2,2,6
24,215352,2014-02-03,0.0,2014,2,3,0
24,215352,2014-02-04,0.0,2014,2,4,1
24,215352,2014-02-05,46.0,2014,2,5,2
24,215352,2014-02-06,58.0,2014,2,6,3
24,215352,2014-02-07,36.0,2014,2,7,4
24,215352,2014-02-08,65.0,2014,2,8,5
24,215352,2014-02-09,96.0,2014,2,9,6
24,215352,2014-02-10,44.0,2014,2,10,0
24,215352,2014-02-11,39.0,2014,2,11,1
24,215352,2014-02-12,53.0,2014,2,12,2
24,215352,2014-02-13,59.0,2014,2,13,3
24,215352,2014-02-14,43.0,2014,2,14,4
24,215352,2014-02-15,61.0,2014,2,15,5
24,215352,2014-02-16,58.0,2014,2,16,6
24,215352,2014-02-17,74.0,2014,2,17,0
24,215352,2014-02-18,48.0,2014,2,18,1
24,215352,2014-02-19,57.0,2014,2,19,2
24,215352,2014-02-20,44.0,2014,2,20,3
24,215352,2014-02-21,36.0,2014,2,21,4
24,215352,2014-02-22,36.0,2014,2,22,5
24,215352,2014-02-23,34.0,2014,2,23,6
24,215352,2014-02-24,25.0,2014,2,24,0
24,215352,2014-02-25,41.0,2014,2,25,1
24,215352,2014-02-26,31.0,2014,2,26,2
24,215352,2014-02-27,33.0,2014,2,27,3
24,215352,2014-02-28,45.0,2014,2,28,4
24,215352,2014-03-01,53.0,2014,3,1,5
24,215352,2014-03-02,36.0,2014,3,2,6
24,215352,2014-03-03,38.0,2014,3,3,0
24,215352,2014-03-04,25.0,2014,3,4,1
24,215352,2014-03-05,36.0,2014,3,5,2
24,215352,2014-03-06,36.0,2014,3,6,3
24,215352,2014-03-07,34.0,2014,3,7,4
24,215352,2014-03-08,34.0,2014,3,8,5
24,215352,2014-03-09,52.0,2014,3,9,6
24,215352,2014-03-10,45.0,2014,3,10,0
24,215352,2014-03-11,27.0,2014,3,11,1
24,215352,2014-03-12,42.0,2014,3,12,2
24,215352,2014-03-13,43.0,2014,3,13,3
24,215352,2014-03-14,45.0,2014,3,14,4
24,215352,2014-03-15,69.0,2014,3,15,5
24,215352,2014-03-16,48.0,2014,3,16,6
24,215352,2014-03-17,24.0,2014,3,17,0
24,215352,2014-03-18,52.0,2014,3,18,1
24,215352,2014-03-19,36.0,2014,3,19,2
24,215352,2014-03-20,78.0,2014,3,20,3
24,215352,2014-03-21,32.0,2014,3,21,4
24,215352,2014-03-22,53.0,2014,3,22,5
24,215352,2014-03-23,59.0,2014,3,23,6
24,215352,2014-03-24,52.0,2014,3,24,0
24,215352,2014-03-25,30.0,2014,3,25,1
24,215352,2014-03-26,49.0,2014,3,26,2
24,215352,2014-03-27,33.0,2014,3,27,3
24,215352,2014-03-28,49.0,2014,3,28,4
24,215352,2014-03-29,59.0,2014,3,29,5
24,215352,2014-03-30,38.0,2014,3,30,6
24,215352,2014-03-31,34.0,2014,3,31,0
24,257847,2013-01-02,415.0,2013,1,2,2
24,257847,2013-01-03,249.0,2013,1,3,3
24,257847,2013-01-04,132.0,2013,1,4,4
24,257847,2013-01-05,387.0,2013,1,5,5
24,257847,2013-01-06,185.0,2013,1,6,6
24,257847,2013-01-07,120.0,2013,1,7,0
24,257847,2013-01-08,313.0,2013,1,8,1
24,257847,2013-01-09,212.0,2013,1,9,2
24,257847,2013-01-10,80.0,2013,1,10,3
24,257847,2013-01-11,172.0,2013,1,11,4
24,257847,2013-01-12,128.0,2013,1,12,5
24,257847,2013-01-13,228.0,2013,1,13,6
24,257847,2013-01-14,358.0,2013,1,14,0
24,257847,2013-01-15,111.0,2013,1,15,1
24,257847,2013-01-16,290.0,2013,1,16,2
24,257847,2013-01-17,197.0,2013,1,17,3
24,257847,2013-01-18,151.0,2013,1,18,4
24,257847,2013-01-19,241.0,2013,1,19,5
24,257847,2013-01-20,109.0,2013,1,20,6
24,257847,2013-01-21,175.0,2013,1,21,0
24,257847,2013-01-22,201.0,2013,1,22,1
24,257847,2013-01-23,86.0,2013,1,23,2
24,257847,2013-01-24,380.0,2013,1,24,3
24,257847,2013-01-25,103.0,2013,1,25,4
24,257847,2013-01-26,98.0,2013,1,26,5
24,257847,2013-01-27,117.0,2013,1,27,6
24,257847,2013-01-28,209.0,2013,1,28,0
24,257847,2013-01-29,54.0,2013,1,29,1
24,257847,2013-01-30,199.0,2013,1,30,2
24,257847,2013-01-31,113.0,2013,1,31,3
24,257847,2013-02-01,179.0,2013,2,1,4
24,257847,2013-02-02,248.0,2013,2,2,5
24,257847,2013-02-03,102.0,2013,2,3,6
24,257847,2013-02-04,219.0,2013,2,4,0
24,257847,2013-02-05,75.0,2013,2,5,1
24,257847,2013-02-06,174.0,2013,2,6,2
24,257847,2013-02-07,109.0,2013,2,7,3
24,257847,2013-02-08,147.0,2013,2,8,4
24,257847,2013-02-09,114.0,2013,2,9,5
24,257847,2013-02-10,86.0,2013,2,10,6
24,257847,2013-02-11,73.0,2013,2,11,0
24,257847,2013-02-12,109.0,2013,2,12,1
24,257847,2013-02-13,280.0,2013,2,13,2
24,257847,2013-02-14,193.0,2013,2,14,3
24,257847,2013-02-15,189.0,2013,2,15,4
24,257847,2013-02-16,219.0,2013,2,16,5
24,257847,2013-02-17,118.0,2013,2,17,6
24,257847,2013-02-18,165.0,2013,2,18,0
24,257847,2013-02-19,251.0,2013,2,19,1
24,257847,2013-02-20,202.0,2013,2,20,2
24,257847,2013-02-21,146.0,2013,2,21,3
24,257847,2013-02-22,219.0,2013,2,22,4
24,257847,2013-02-23,226.0,2013,2,23,5
24,257847,2013-02-24,183.0,2013,2,24,6
24,257847,2013-02-25,169.0,2013,2,25,0
24,257847,2013-02-26,175.0,2013,2,26,1
24,257847,2013-02-27,230.0,2013,2,27,2
24,257847,2013-02-28,151.0,2013,2,28,3
24,257847,2013-03-01,143.0,2013,3,1,4
24,257847,2013-03-02,259.0,2013,3,2,5
24,257847,2013-03-03,285.0,2013,3,3,6
24,257847,2013-03-04,108.0,2013,3,4,0
24,257847,2013-03-05,186.0,2013,3,5,1
24,257847,2013-03-06,161.0,2013,3,6,2
24,257847,2013-03-07,305.0,2013,3,7,3
24,257847,2013-03-08,110.0,2013,3,8,4
24,257847,2013-03-09,363.0,2013,3,9,5
24,257847,2013-03-10,91.0,2013,3,10,6
24,257847,2013-03-11,99.0,2013,3,11,0
24,257847,2013-03-12,121.0,2013,3,12,1
24,257847,2013-03-13,220.0,2013,3,13,2
24,257847,2013-03-14,120.0,2013,3,14,3
24,257847,2013-03-15,169.0,2013,3,15,4
24,257847,2013-03-16,182.0,2013,3,16,5
24,257847,2013-03-17,125.0,2013,3,17,6
24,257847,2013-03-18,194.0,2013,3,18,0
24,257847,2013-03-19,177.0,2013,3,19,1
24,257847,2013-03-20,249.0,2013,3,20,2
24,257847,2013-03-21,254.0,2013,3,21,3
24,257847,2013-03-22,332.0,2013,3,22,4
24,257847,2013-03-23,167.0,2013,3,23,5
24,257847,2013-03-24,163.0,2013,3,24,6
24,257847,2013-03-25,224.0,2013,3,25,0
24,257847,2013-03-26,305.0,2013,3,26,1
24,257847,2013-03-27,207.0,2013,3,27,2
24,257847,2013-03-28,176.0,2013,3,28,3
24,257847,2013-03-29,190.0,2013,3,29,4
24,257847,2013-03-30,137.0,2013,3,30,5
24,257847,2013-03-31,170.0,2013,3,31,6
24,257847,2013-04-01,294.0,2013,4,1,0
24,257847,2013-04-02,278.0,2013,4,2,1
24,257847,2013-04-03,212.0,2013,4,3,2
24,257847,2013-04-04,190.0,2013,4,4,3
24,257847,2013-04-05,254.0,2013,4,5,4
24,257847,2013-04-06,293.0,2013,4,6,5
24,257847,2013-04-07,95.0,2013,4,7,6
24,257847,2013-04-08,275.0,2013,4,8,0
24,257847,2013-04-09,192.0,2013,4,9,1
24,257847,2013-04-10,198.0,2013,4,10,2
24,257847,2013-04-11,59.0,2013,4,11,3
24,257847,2013-04-12,214.0,2013,4,12,4
24,257847,2013-04-13,219.0,2013,4,13,5
24,257847,2013-04-14,178.0,2013,4,14,6
